country,years,students,gdp,expenditure
Botswana,2009,8971,10267128733,9.63000011444
Botswana,2007,7246,10939053365,8.88000011444
Botswana,2005,9390,9931134941,10.6800003052
Brazil,2012,30235,2413140000000,5.90999984741
Brazil,2011,29218,2615230000000,5.73999977112
Brazil,2010,27753,2209430000000,5.65000009537
Brazil,2009,26238,1664590000000,5.46999979019
Brazil,2008,23003,1694590000000,5.26999998093
Brazil,2007,21533,1395940000000,4.98000001907
Brazil,2006,19880,1107800000000,4.86999988556
Brazil,2005,19424,892103000000,4.48000001907
Brazil,2004,19285,669643000000,3.97000002861
Brazil,2002,19534,508780000000,3.74000000954
Brazil,2001,17464,559612000000,3.83999991417
Brazil,2000,17274,657216000000,3.94000005722
Brazil,1999,16268,601905000000,3.77999997139
Brazil,1998,15996,866855000000,4.73999977112
Brunei Darussalam,2012,3550,16953505122,3.21000003815
Brunei Darussalam,2011,3425,16691533190,3.68000006676
Brunei Darussalam,2010,3325,12370616062,2.04999995232
Brunei Darussalam,2000,2179,6001153306,3.71000003815
Brunei Darussalam,1999,2226,4600000000,4.92999982834
Brunei Darussalam,1998,2092,4051147228,5.25
Bulgaria,2012,25166,53576670828,3.58999991417
Bulgaria,2011,24291,56949835052,3.67000007629
Bulgaria,2010,24150,49939168133,4.01999998093
Bulgaria,2009,23638,51783454184,4.42999982834
Bulgaria,2008,23257,54666642734,4.30999994278
Bulgaria,2007,24591,44765733380,3.75
Bulgaria,2006,25488,34304448150,3.99000000954
Bulgaria,2005,25676,29821662537,4.19000005722
Bulgaria,2004,24683,26094622564,2.33999991417
Bulgaria,2003,22256,21074775206,4.01000022888
Bulgaria,2002,18429,16360346654,3.40000009537
Bulgaria,2001,14458,14135393876,3.3599998951
Bulgaria,1998,9941,14630974778,2.80999994278
Burkina Faso,2013,3650,12110243992,4.53000020981
Burkina Faso,2012,3480,11166061508,4.05000019073
Burkina Faso,2011,3394,10724061339,4.48000001907
Burkina Faso,2010,3290,8979966766,3.94000005722
Burkina Faso,2007,2789,6771277871,4.59000015259
Burkina Faso,2006,2694,5844669846,4.46000003815
Burkina Faso,2005,2299,5462709498,4.42999982834
Burundi,2013,2017,2714505635,5.40999984741
Burundi,2012,1902,2472384907,5.82000017166
Burundi,2011,1882,2355652126,6.0
Burundi,2010,1607,2026864469,6.78999996185
Burundi,2009,1552,1739781489,6.32000017166
Burundi,2008,1436,1611634332,5.19000005722
Burundi,2005,936,1117257279,3.63000011444
Burundi,2004,938,915257323,3.74000000954
Burundi,2002,984,825394490,3.0
Burundi,2001,949,876794723,2.90000009537
Burundi,2000,880,870486066,2.65000009537
Burundi,1999,868,808077223,3.42000007629
Cambodia,2010,4172,11242275199,2.59999990463
Cambodia,2007,2918,8639235842,1.60000002384
Cambodia,2004,2457,5337833256,1.72000002861
Cambodia,2002,1943,4284028138,1.71000003815
Cambodia,2001,1767,3979813388,1.72000002861
Cambodia,2000,1665,3654031716,1.66999995708
Cambodia,1998,1391,3120425503,1.25999999046
Cameroon,2013,19491,29567504655,3.02999997139
Cameroon,2012,22173,26472056038,2.97000002861
Cameroon,2011,23006,26587311528,3.04999995232
Cameroon,2010,20916,23622483984,3.30999994278
Cameroon,2009,19695,23381142147,3.46000003815
Cameroon,2008,18854,23322254114,2.96000003815
Cameroon,2007,17476,20431780378,3.36999988556
Cameroon,2006,16569,17953066721,2.96000003815
Cameroon,2005,15867,16587858857,3.11999988556
Cameroon,2004,14779,15775357015,3.32999992371
Cameroon,2003,14444,13621738837,3.29999995232
Cameroon,2001,11405,9633109350,2.6099998951
Cameroon,2000,10716,9287367235,1.92999994755
Canada,2011,45983,1788800000000,5.26999998093
Canada,2010,46140,1614010000000,5.36999988556
Canada,2009,46841,1370840000000,4.86999988556
Canada,2008,45588,1542620000000,4.65999984741
Canada,2007,45148,1457870000000,4.80000019073
